gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
Male,0,Yes,Yes,51,Yes,No,DSL,No,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,56.63,2816.57,0
Female,1,Yes,Yes,14,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No,One year,No,Credit card (automatic),84.87,1199.63,0
Female,0,Yes,No,71,Yes,No,No,No internet service,No,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),126.06,9013.4,0
Female,0,Yes,No,60,No,No,Fiber optic,Yes,Yes,No,No,Yes,No internet service,One year,Yes,Electronic check,55.99,3436.61,1
Female,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),111.41,2244.07,0
Female,0,No,No,23,Yes,Yes,No,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),96.29,2227.27,0
Male,0,Yes,No,2,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),62.01,-6.95,0
Male,0,No,Yes,21,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No,No,Two year,Yes,Bank transfer (automatic),64.51,1491.08,0
Male,0,No,No,52,Yes,No,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Mailed check,73.55,3896.15,0
Male,1,No,No,1,Yes,No,DSL,No internet service,Yes,No,No,Yes,No,Two year,Yes,Mailed check,94.6,132.56,0
Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No,Two year,Yes,Electronic check,82.08,2383.92,0
Female,0,No,No,37,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,55.75,1951.21,0
Female,0,Yes,No,1,Yes,Yes,DSL,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,18.0,27.12,1
Female,1,No,Yes,63,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),90.17,5682.3,0
Female,0,Yes,No,59,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),18.0,991.54,0
Female,1,No,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Mailed check,29.02,602.81,0
Male,1,No,No,32,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),57.93,1915.59,0
